category,id
Bottomwear,57137
Topwear,33954
Bottomwear,7178
Topwear,6196
Topwear,3045
Topwear,32643
Topwear,22777
Topwear,12116
Bottomwear,41346
Topwear,37761
Topwear,38978
Topwear,9597
Topwear,39784
Bottomwear,40160
Topwear,24840
Topwear,12799
Topwear,3479
Topwear,26297
Dress,10656
Dress,34167
Topwear,13733
Topwear,41606
Topwear,11566
Topwear,12043
Topwear,4356
Innerwear,30467
Bottomwear,24194
Topwear,12023
Dress,31167
Topwear,40060
Topwear,6504
Topwear,11572
Topwear,26269
Topwear,20224
Topwear,5763
Topwear,42662
Topwear,42564
Topwear,59359
Topwear,32656
Bottomwear,27605
Topwear,39840
Innerwear,51816
Topwear,26227
Topwear,43047
Bottomwear,32447
Topwear,27538
Topwear,16141
Innerwear,27507
Bottomwear,7497
Bottomwear,11295
Topwear,21902
Bottomwear,11354
Topwear,17573
Topwear,18259
Topwear,40938
Bottomwear,46903
Topwear,34112
Topwear,32578
Topwear,30139
Topwear,14132
Topwear,24267
Topwear,40955
Bottomwear,22585
Topwear,6241
Topwear,12130
Bottomwear,7553
Topwear,21890
Topwear,48063
Topwear,59421
Topwear,59360
Topwear,39798
Topwear,54904
Topwear,4038
Bottomwear,28512
Topwear,19081
Topwear,40579
Topwear,10342
Innerwear,59085
Topwear,43253
Topwear,24886
Topwear,19056
Topwear,11448
Innerwear,28020
Topwear,30915
Topwear,11563
Topwear,23226
Topwear,2606
Bottomwear,51588
Innerwear,53484
Topwear,2044
Topwear,23321
Topwear,36719
Innerwear,10716
Innerwear,52486
Topwear,52143
Topwear,13428
Topwear,29548
Topwear,12054
Topwear,24159
Topwear,12918
Topwear,42210
Topwear,29837
Topwear,17262
Topwear,9260
Topwear,4059
Topwear,11147
Topwear,29057
Topwear,2048
Bottomwear,16611
Topwear,34357
Topwear,58670
Topwear,16230
Innerwear,19113
Topwear,2856
Topwear,39730
Topwear,17264
Topwear,22044
Innerwear,28895
Topwear,2045
Bottomwear,50018
Topwear,30797
Topwear,13227
Topwear,54564
Topwear,12376
Topwear,6529
Bottomwear,27379
Topwear,57832
Topwear,7146
Topwear,3047
Topwear,31294
Topwear,12241
Topwear,4035
Topwear,10461
Topwear,14323
Topwear,13336
Topwear,13418
Topwear,26477
Topwear,16548
Topwear,4032
Topwear,22399
Topwear,6886
Topwear,34213
Bottomwear,40281
Innerwear,57351
Topwear,34323
Innerwear,28888
Topwear,30320
Topwear,30292
Topwear,6780
Topwear,7796
Topwear,9450
Topwear,12358
Topwear,18719
Topwear,30748
Bottomwear,12044
Topwear,6079
Bottomwear,29172
Topwear,42123
Bottomwear,26822
Topwear,4290
Topwear,28910
Topwear,3067
Innerwear,52488
Topwear,11772
Topwear,53126
Topwear,22225
Topwear,36830
Topwear,37527
Topwear,31576
Topwear,34479
Topwear,5099
Topwear,26093
Bottomwear,15117
