category,id
Myntra,51437
Highlander,23194
Fabindia,30797
Chromozome,50660
Rocia,50164
Doodle,50714
Puma,29112
109F,46259
Probase,12673
Reebok,5299
Roxy,21465
United Colors of Benetton,13406
Maxima,23292
Wildcraft,51334
Red Tape,44418
Clarks,21059
Hanes,49984
Mark Taylor,31576
Flying Machine,34797
Flying Machine,14481
Scullers,11147
Mark Taylor,12023
Red Rose,52424
Vans,49406
Indigo Nation,13826
Arrow,23032
Locomotive,21402
ADIDAS,46095
ADIDAS,2044
Nautica,41031
Nike,2312
Highlander,23191
Spinn,36454
Gitanjali Lifestyle,48757
Baggit,47352
The Amazing Spiderman,48259
ID,22253
BIBA,28910
Murcia,3395
Mark Taylor,22399
Park Avenue,50310
Nike,35697
Myntra,4059
Gas,17054
Enamor,50989
Asics,3312
Puma,31294
Lee Cooper,12862
Nyk,51900
Myntra,30292
Pieces,33733
Tous,45683
Myntra,52095
Lino Perros,17073
Chromozome,50476
Carlton London,13537
Fabindia,30748
Arrow,44649
Timberland,22207
Red Tape,45623
Puma,9198
Spykar,12044
Puma,16230
Lucera,49010
Myntra,3530
Puma,3258
Portia,47555
United Colors of Benetton,13398
Inc. 5,22307
Doodle,34096
Basics,29837
Carlton London,41471
Lee,2120
Lotto,16732
United Colors of Benetton,14881
Nike,31689
Gini and Jony,31149
Quechua,1558
Fastrack,8938
French Connection,48525
Timex,46468
Arrow,14760
Fabindia,30915
Mayhem,16085
Reebok,5273
BIBA,22761
Vans,49491
Puma,4038
Myntra,3527
ADIDAS,29057
Puma,44917
Rasasi,46681
Rocia,49524
Rockport,10128
Puma,9572
Franco Leone,32510
Nike,22697
Femella,33968
Enamor,28888
Nike,46741
Lucera,48821
Nike,19302
Doodle,35432
Tantra,3067
Nautica,41041
Mother Earth,15096
Nike,9985
United Colors of Benetton,14853
Basics,16548
Reid & Taylor,36184
Mark Taylor,9229
Allen Solly,35077
Franco Leone,11905
Mod'acc,52586
Deborah,49110
Locomotive,16516
Fastrack,8711
Vans,49509
Rocia,45412
Portia,47595
Gini and Jony,4943
Reebok,5314
Baggit,58274
BIBA,22777
Turtle,15996
Jockey,54618
ADIDAS,8386
Deni Yo,24194
United Colors of Benetton,17226
ADIDAS,4677
Puma,53360
Doodle,18175
United Colors Of Benetton,19158
Nike,10031
HM,56947
Enroute,14408
Superman,41696
Fastrack,20974
Ivory Tag,54838
HM,56914
Wrangler,29282
Helix,39376
Fastrack,8132
Peter England,16303
Doodle Girl,10685
Doodle,43694
Femella,25919
ADIDAS,2090
United Colors of Benetton,19336
Playboy,11853
United Colors of Benetton,19571
Puma,6100
Streetwear,56470
Elle,57137
Gliders,44448
Doodle,34112
Reebok,46325
Basics,14702
Wildcraft,38135
Chromozome,50663
Mother Earth,42564
Timberland,22232
ADIDAS,3462
French Connection,42868
FIFA,13489
Peter England,46903
Kids Ville,38286
Puma,9351
Reebok,10037
Nike,30626
Femella,52143
BIBA,21890
IDEE,16873
Baggit,58278
Indigo Nation,29665
Aurelia,12134
Wildcraft,8352
Scullers,8799
Numero Uno,2505
Ray-Ban,28155
Lucera,48573
French Connection,42908
Puma,18536
Facit,15814
Puma,53802
Basics,14684
Nike,10716
Arrow,59454
Kiara,29738
Nike,28634
Murcia,21933
Red Tape,39814
Lakme,55029
Indigo Nation,10334
Chromozome,50463
Murcia,10223
Fastrack,25636
Happy Socks,37882
Vans,34863
Baggit,38465
Maxima,56681
Quiksilver,40772
Fabindia,53095
Bulchee,27792
ADIDAS,4670
ADIDAS,3470
Reebok,1623
Lee Cooper,57490
Lee,6247
Puma,1540
United Colors of Benetton,20858
Wrangler,20171
John Miller,26124
Jockey,27507
Arrow Sport,15162
Madagascar,37590
Puma,6133
Mark Taylor,14534
Wrangler,11295
Aneri,18303
Jockey,27400
Skybags,44284
Amante,53484
Provogue,57528
Nike,31960
Facit,47525
Murcia,43334
American Tourister,42074
Rocky S,58188
Nike,43047
Baggit,20433
Fastrack,25654
Arrow,41251
ADIDAS,8402
Playboy,47245
Fastrack,8664
ADIDAS,15037
Sushilas,54599
U.S. Polo Assn.,33055
Batman,27663
Doodle,8419
Nike,7497
Arrow,26797
Fastrack,43177
Myntra,34323
Gini and Jony,40160
Locomotive,5945
United Colors of Benetton,11471
Vishudh,45836
Disney,2716
ADIDAS,22487
QnQ,32304
Ganuchi,44937
Highlander,16039
Rasasi,54967
Streetwear,56513
Playboy,32533
Red Tape,39819
Newfeel,11967
CASIO,37314
Shree,47005
W,19081
American Tourister,37671
FNF,59639
Gini and Jony,39002
John Miller,9450
Envirosax,34882
Puma,53783
Reebok,5712
Puma,9332
Levis,25381
Happy Socks,37881
Hanes,18679
Scullers,8882
Aurelia,12130
Inesis,1634
United Colors of Benetton,10180
ADIDAS,44382
W,11566
FOSSIL,36893
Nike,25440
Wildcraft,8315
ADIDAS,34824
United Colors of Benetton,10342
Quechua,2589
Indigo Nation,43960
Raymond,51165
ADIDAS,14985
Jealous 21,5763
Numero Uno,13066
Catwalk,17661
Peter England,16316
Park Avenue,51259
Spykar,12918
Nike,6529
Fastrack,8692
John Miller,26093
Fossil,46316
Mineral,37931
Spykar,44800
Red Rose,52488
York,46945
Park Avenue,49710
Gini and Jony,40938
Pieces,33732
Gini and Jony,38502
Puma,26712
Fabindia,45986
Clarks,34068
Madagascar,37519
ADIDAS,15017
Colorbar,55866
Jealous 21,7708
Baggit,47422
Disney,4189
ADIDAS,24427
Fashion N Fabrics,59594
Doodle,10656
Highlander,15676
Myntra,53126
Catwalk,46610
Pepe Jeans,17331
Probase,2167
Levitate,32611
Vans,49407
Genesis,16611
Reid & Taylor,12358
Aurelia,12116
Rasasi,46667
Gini and Jony,36727
Status Quo,3760
Sepia,42198
Baggit,47382
Chromozome,50459
ADIDAS,20956
Lucera,48604
Lakme,55039
Nike,38610
United Colors of Benetton,11416
Nike,15634
Catwalk,6298
Lee,6196
Doodle,41750
Colorbar,56178
Timex,46503
Vans,49433
Puma,7843
Satya Paul,51077
U.S. Polo Assn.,19806
Force 10,44501
United Colors of Benetton,48236
Spinn,36442
Buckaroo,9026
Kiara,53684
Marvel,47106
Proline,34213
Maxima,44981
Nike,42143
W,28722
Scullers,27605
Aneri,23226
Mark Taylor,17573
HM,56908
Tantra,9182
Fila,29202
John Players,37761
Fila,4130
Puma,7812
U.S. Polo Assn.,35652
Catwalk,41742
Puma,17976
Catwalk,18765
Puma,10608
Gini and Jony,38480
Murcia,24736
Nike,38759
Flying Machine,10461
Nike,6665
Chromozome,50605
Wildcraft,51321
United Colors of Benetton,57832
Wrangler,25721
Fila,18345
Baggit,38436
FIFA,1891
Lino Perros,25228
Nike,22585
Lotto,23299
Titan,59271
Ray-Ban,23698
Puma,13987
Nike,30588
Tokyo Talkies,45955
Puma,10389
Reebok,1624
Lotus,57548
U.S. Polo Assn.,17232
Nautica,41043
ADIDAS,15034
Rasasi,46690
United Colors of Benetton,17209
ADIDAS,2045
Clarks,12481
French Connection,48477
Paris Hilton,26000
ADIDAS,32447
CABARELLI,28912
ADIDAS,4805
Lino Perros,25211
United Colors of Benetton,24992
Avirate,59696
Nike,42141
Lotto,1759
ADIDAS,4631
Puma,43958
Playboy,29521
Hugo Boss,44101
Puma,10579
Clarks,57937
Timberland,13361
Gini and Jony,31174
Madagascar3,37559
Proline,26269
Baggit,20595
Peter England,18772
Arrow,44648
Casio,37330
W,36240
Fabindia,46007
ADIDAS,5609
Aurelia,41317
ADIDAS,54068
Puma,18846
Reid & Taylor,36363
Lee,6244
Euroluxe,46777
Revlon,55573
Murcia,3406
Red Tape,30255
Reebok,5300
Baggit,33470
Fila,3655
Titan,31826
Puma,3599
Reebok,5749
ADIDAS,5857
United Colors of Benetton,49662
OTLS,36050
Nike,25420
Murcia,10226
Peter England,16325
Puma,11651
Lotto,23934
Mark Taylor,12043
Quiksilver,24267
Proline,7914
Little Miss Intimates,49780
Puma,10570
Burberry,36705
Lee Cooper,13128
Cobblerz,45325
Vishudh,50385
Peter England,16358
W,11572
Palm Tree,13227
Nike,38605
Vishudh,59359
Mark Taylor,9239
Vishudh,22044
ADIDAS,2195
Puma,26470
John Players,37811
Maxima,36789
U.S. Polo Assn.,17264
Tiptopp,59147
Gini and Jony,41973
United Colors of Benetton,43299
Shree,58212
Baggit,38418
Lino Perros,37065
Bwitch,51832
Maxima,44998
Nike,22633
Tantra,3047
Indigo Nation,8722
Gini and Jony,33264
FOSSIL,51636
United Colors of Benetton,48235
United Colors of Benetton,19213
Police,43980
Maxima,45038
Nike,28655
JAG,52798
Q&Q,53604
ADIDAS,6504
Wrangler,41346
Reid & Taylor,36347
Quechua,1563
Puma,16973
Indigo Nation,8778
ADIDAS,33941
Enamor,28895
Gini and Jony,40992
Lee,2051
ADIDAS,6619
Myntra,3351
Timex,46427
Red Rose,52451
Jealous 21,3952
Q&Q,53580
Do u speak green,54904
ADIDAS,4811
