category,id
Bottomwear,13015
Socks,13128
Topwear,10342
Topwear,15373
Socks,15394
Bottomwear,15676
Socks,13987
Topwear,16325
Topwear,12134
Topwear,13406
Topwear,11471
Topwear,13733
Topwear,16358
null,10226
Topwear,2312
Socks,31689
Topwear,15096
Topwear,1759
Socks,12862
Socks,12481
Topwear,12043
Innerwear,10716
Topwear,22044
Socks,13361
Bottomwear,11354
Topwear,13489
Socks,1634
Socks,17055
Topwear,11448
Socks,16732
Topwear,10389
Socks,10771
Bottomwear,12044
Bottomwear,27605
Topwear,25851
Footwear,10128
Dress,11563
Socks,12452
Topwear,14534
Topwear,14702
null,16085
Topwear,17209
Socks,15510
Topwear,11566
Topwear,13418
Topwear,15017
Topwear,10355
Topwear,1623
Watches,10608
Topwear,12229
Bottomwear,14176
Socks,13654
null,14881
Topwear,17281
Topwear,12116
Dress,11572
Topwear,13336
Topwear,12130
Bottomwear,31337
Not Applicable,25744
Bottomwear,13112
Bottomwear,11295
Topwear,10461
Topwear,13428
Socks,11853
Topwear,22927
Topwear,10031
Topwear,17264
Topwear,10253
Bottomwear,11905
Other,10223
Topwear,25228
Topwear,14985
Socks,10037
Socks,18345
Topwear,1624
Topwear,14679
Topwear,14791
Topwear,12054
Bottomwear,16611
Socks,19496
Innerwear,27491
Topwear,15037
Topwear,31294
Topwear,10570
Topwear,12802
Topwear,13227
Watches,11651
Bottomwear,18765
Bottomwear,14408
Bottomwear,14853
Socks,10180
Socks,13074
Topwear,12023
Innerwear,28888
Topwear,12493
None,1558
Socks,13066
Topwear,11416
Socks,11944
Topwear,19571
Topwear,20595
Topwear,23226
Socks,14613
Socks,11881
Socks,14481
Topwear,15034
Topwear,13398
Topwear,1540
Topwear,14684
Socks,13275
Topwear,10685
Socks,11967
Topwear,32502
Topwear,10803
Topwear,10656
Topwear,16039
Topwear,16303
Topwear,10579
Bottomwear,12673
Innerwear,15779
Topwear,10689
Socks,3312
Topwear,14323
Innerwear,15814
Topwear,16873
Topwear,29738
Topwear,12241
Socks,32027
Topwear,15140
Socks,13204
Not Applicable,25171
Socks,15409
Topwear,31174
Socks,13537
Topwear,12799
Bottomwear,14876
Socks,29112
Socks,13384
Topwear,12464
Bottomwear,15117
Topwear,14956
Topwear,12918
Topwear,12358
Socks,10741
Topwear,15920
Topwear,15601
Topwear,16548
Socks,10102
Topwear,17226
Topwear,10432
Topwear,1563
Topwear,15636
Topwear,10138
Topwear,15634
Socks,18409
Topwear,13826
Socks,14564
Topwear,11147
Topwear,12376
Topwear,17561
Topwear,23292
Topwear,25211
Bottomwear,17054
Topwear,2120
Bottomwear,17073
Topwear,2716
Topwear,1557
Topwear,16316
Topwear,14760
Bottomwear,10334
Topwear,2589
Topwear,15162
Topwear,15996
Topwear,14132
Topwear,11772
Bottomwear,26822
Socks,22253
Bottomwear,19213
Socks,32510
Innerwear,51042
Topwear,2051
Topwear,49754
Topwear,5314
Socks,2874
Topwear,19081
Not clothing,20433
Socks,39284
None,46681
Socks,6619
Socks,2505
Topwear,23739
Topwear,26093
Dress,47005
Topwear,4805
Socks,23505
Socks,37519
Topwear,36121
Topwear,53833
Topwear,8778
Topwear,38978
Topwear,45836
Topwear,38480
Topwear,54904
Socks,21059
Bottomwear,40281
Bottomwear,30925
Socks,26548
Footwear,47595
Topwear,36727
Dress,22761
None,55053
Topwear,4059
Socks,33690
Topwear,30833
Socks,47106
Socks,23299
Topwear,37701
Topwear,9229
Topwear,38136
Topwear,6547
Topwear,39840
Innerwear,53484
Topwear,30320
Socks,59147
Dress,36240
Dress,40579
Footwear,6665
Socks,50778
Topwear,29837
Dress,59659
Socks,5915
Topwear,21910
Topwear,45838
Innerwear,50623
Footwear,30255
Dress,37940
Footwear,45328
Topwear,20224
Socks,2831
Dress,58670
Socks,57305
Socks,1833
Innerwear,37527
Topwear,37330
Topwear,17232
Topwear,43047
null,46667
Innerwear,28895
Innerwear,50979
Topwear,19627
Topwear,39376
Topwear,5303
Topwear,32643
None,49110
Topwear,7914
Socks,29207
Watches,59271
Topwear,48604
Dress,43674
Socks,7843
Bottomwear,26148
Topwear,8315
Socks,41458
Topwear,49710
None,57867
Innerwear,57351
Topwear,34096
Topwear,23191
Topwear,42210
Topwear,31237
Socks,51165
Socks,44418
Bottomwear,20974
Not Applicable,56506
Dress,34167
Innerwear,50463
Watches,25654
Socks,4637
Watches,56681
Socks,24101
Topwear,59454
Topwear,48259
Dress,31167
null,46057
Not Applicable,46777
Socks,34842
Topwear,42893
Topwear,8692
Watches,37314
Dress,43694
Footwear,33526
Socks,49491
Bottomwear,42951
Bottomwear,41246
Topwear,16230
Topwear,21902
Socks,44732
None,41036
Topwear,2045
Socks,54109
Bottomwear,16516
Socks,25440
Socks,8103
Dress,37931
Topwear,5763
Topwear,8399
Topwear,58188
Bottomwear,28512
Topwear,30292
Topwear,8810
Not apparel,55039
Topwear,19643
Topwear,33369
Topwear,18772
Topwear,22399
Topwear,30588
Topwear,38172
Innerwear,17859
Dress,45997
Socks,6450
Topwear,44648
Topwear,18732
Footwear,39819
Socks,58232
Topwear,46316
Not Applicable,21933
Socks,47573
Socks,5357
Topwear,48348
Dress,48525
Innerwear,52486
Topwear,35261
Topwear,22940
Topwear,44649
Watches,59276
Socks,5316
Topwear,3276
Topwear,26124
Bottomwear,16973
Topwear,48239
Topwear,34797
Topwear,19814
Topwear,6952
None,23579
Watches,37294
Innerwear,50989
Socks,49407
Topwear,33941
Topwear,4038
Topwear,39730
Topwear,22225
Topwear,2856
Topwear,27663
null,17590
Socks,37881
Topwear,5437
Socks,41851
Bottomwear,27379
Socks,18536
Watches,43177
Innerwear,51816
Topwear,54599
Bottomwear,45412
Topwear,1891
Topwear,30560
Topwear,42601
Topwear,29287
Socks,9139
Bottomwear,8882
Socks,7835
Watches,46503
Topwear,33737
Topwear,2837
Bottomwear,35077
Topwear,8595
Topwear,4908
Bottomwear,50660
Footwear,34863
Topwear,17262
Topwear,3479
Topwear,48431
Socks,2368
Topwear,41411
Accessories,51685
Topwear,26712
None,57755
Not Applicable,43334
Bottomwear,58212
Topwear,29282
Innerwear,59696
Topwear,31149
Watches,59291
Topwear,29665
Topwear,46259
Socks,24424
Bottomwear,51334
Socks,50164
Footwear,56908
Topwear,42831
Topwear,53076
Topwear,2606
Socks,44998
Socks,9198
Topwear,5857
Topwear,8862
Innerwear,53631
null,26859
Bottomwear,7497
Socks,59212
Topwear,36719
Watches,46468
Topwear,24886
Topwear,52143
Topwear,42874
Innerwear,44054
Topwear,6504
Topwear,49939
Topwear,17184
Footwear,45325
Dress,52424
Topwear,48757
Footwear,22697
Socks,38788
Topwear,25627
Socks,5868
Topwear,28910
Topwear,48235
Topwear,34882
Topwear,22777
Topwear,19336
Socks,6285
Bottomwear,41696
Topwear,8711
Topwear,51900
Topwear,58278
Topwear,23194
Topwear,16141
Topwear,58253
Topwear,4670
None,55866
Accessories,27728
Bottomwear,17976
Innerwear,51832
Topwear,31099
Topwear,4811
Socks,39814
Socks,5712
Topwear,58183
Topwear,55807
Topwear,6196
Bottomwear,51261
Socks,35782
Topwear,8664
Socks,9351
Topwear,2044
Footwear,22132
Topwear,30139
Socks,39303
Topwear,50321
Socks,5609
Watches,40501
Topwear,23698
Topwear,8386
Topwear,19616
Other,45683
Topwear,6529
Bottomwear,7133
Topwear,2167
Topwear,48226
Topwear,54564
Other,56513
Topwear,30748
Topwear,21890
Topwear,37811
Bottomwear,7178
Socks,49509
Footwear,46325
Topwear,6245
Topwear,53126
Topwear,28208
Bottomwear,5605
Topwear,38465
Topwear,59566
Topwear,32578
Topwear,45937
Socks,3258
Topwear,46192
Topwear,38610
Bottomwear,50018
Topwear,6079
Innerwear,57409
Dress,59639
Topwear,28912
Socks,3655
Bottomwear,59023
Topwear,2048
None,57864
Topwear,3527
Innerwear,17885
Bottomwear,7553
Socks,57528
Socks,54135
Topwear,19158
Topwear,24729
Watches,31826
Topwear,37717
Topwear,4386
Bottomwear,58486
Dress,50903
Innerwear,30467
Topwear,9239
Topwear,37784
Topwear,46129
Topwear,43253
Topwear,21499
Topwear,4817
Topwear,36000
Bottomwear,36020
Bottomwear,5273
Topwear,56241
Bottomwear,52798
Topwear,8812
None,55971
Topwear,31576
Topwear,53783
Topwear,42123
Bottomwear,34205
Topwear,9985
Topwear,41750
null,56468
Bottomwear,33264
null,49010
Bottomwear,41346
Socks,37882
Topwear,34112
Topwear,5301
Socks,46610
Topwear,23321
Dress,59359
Topwear,41606
Bottomwear,24992
Bottomwear,42908
Bottomwear,39139
Topwear,46986
Topwear,45986
Innerwear,25381
Topwear,48821
Socks,9122
Innerwear,50436
Socks,44937
Bottomwear,36841
null,48573
Topwear,50338
Topwear,3599
Not Applicable,42074
Socks,56933
Socks,7716
Topwear,36347
Watches,53580
Apparel,51321
Socks,19903
null,46690
Socks,49433
Not clothing,32533
Topwear,24327
Topwear,32656
Topwear,23032
Topwear,52074
Socks,22307
Bottomwear,24194
Bottomwear,40931
Footwear,56947
Innerwear,52451
Topwear,19344
Topwear,9954
Topwear,34357
Topwear,3470
Bottomwear,17774
Topwear,39784
Bottomwear,41317
Topwear,30309
Dress,47656
Socks,23934
Socks,46095
Socks,4508
Bottomwear,38562
Socks,31960
Topwear,3395
Topwear,58449
Bottomwear,44288
Bottomwear,46903
Topwear,38286
Topwear,9260
Watches,25323
None,55573
Socks,37238
Topwear,7150
Footwear,41471
Socks,17825
Footwear,20267
Topwear,21402
Topwear,46427
Topwear,23695
Dress,51079
Socks,36405
Socks,41864
Bottomwear,32447
Not Applicable,4677
Topwear,32467
Socks,9026
Bottomwear,38418
Topwear,8775
null,35325
Topwear,52586
Topwear,4032
Topwear,36893
Not Applicable,25163
Socks,47590
Topwear,34479
Topwear,49780
Socks,47233
Footwear,34520
Topwear,6247
None,55146
Bottomwear,37559
Topwear,3687
Topwear,33055
Socks,28634
Dress,42198
Topwear,36184
Topwear,42520
Bottomwear,33733
Dress,59594
Socks,6133
Bottomwear,22128
Watches,41043
Bottomwear,44917
Topwear,8411
Footwear,34068
Topwear,48170
None,57589
Bottomwear,2195
Socks,28599
Socks,44501
Topwear,34878
Topwear,3067
Topwear,40955
Bottomwear,25721
Bottomwear,22585
Dress,28722
Socks,32032
Topwear,5812
Topwear,59421
Topwear,36789
Topwear,38436
Topwear,43796
Topwear,8799
Topwear,4800
Topwear,57448
Topwear,19745
Watches,25636
Topwear,26477
Not Applicable,58274
Topwear,34213
None,55387
Topwear,37671
Topwear,6886
Topwear,27538
Footwear,17661
Topwear,40772
Topwear,20254
Footwear,50160
Not clothing,55064
Bottomwear,51588
Topwear,51559
Topwear,58532
None,55883
Socks,20956
None,55266
Bottomwear,41699
Topwear,28177
Socks,39563
Socks,6143
Socks,9375
Bottomwear,33470
Dress,46007
null,55070
Bottomwear,50663
None,54967
Dress,51077
Innerwear,59085
Topwear,9597
Socks,58097
Socks,43958
Topwear,26227
Dress,58506
Topwear,47352
Socks,5362
Socks,26688
Bottomwear,33732
Topwear,40990
Socks,19302
Socks,54068
Socks,39013
Not Applicable,53098
null,18470
Topwear,42844
Topwear,38759
Topwear,36050
Bottomwear,50385
Topwear,45022
Bottomwear,53360
Topwear,40938
Topwear,58074
Topwear,40060
Bottomwear,7935
Socks,9358
Topwear,20153
Topwear,54838
Socks,29202
Socks,44448
Topwear,33402
Topwear,37590
None,56178
Bottomwear,33480
Dress,48477
Topwear,8132
Topwear,28155
Socks,26709
Bottomwear,38933
None,56470
Topwear,5849
None,56088
Topwear,2090
Topwear,39490
Topwear,51437
Topwear,23485
Topwear,5300
Topwear,51636
Innerwear,54618
Bottomwear,49573
Topwear,38135
Socks,36454
Bottomwear,52548
None,22555
Topwear,20860
Bottomwear,4631
Topwear,45038
Topwear,34092
Socks,33093
Socks,17698
null,38164
Topwear,21465
Socks,36442
Topwear,41041
Not clothing,55029
Topwear,19806
Not Applicable,43980
Topwear,53565
Topwear,46527
None,55875
Topwear,41787
Socks,45409
Topwear,9332
Bottomwear,37229
null,19297
Topwear,47662
Topwear,5099
Bottomwear,7708
Bottomwear,51259
Topwear,18038
Topwear,8938
Innerwear,47525
Footwear,2817
Topwear,46999
Topwear,47382
Topwear,51683
Topwear,2985
Topwear,50714
Dress,3968
Topwear,6244
null,42876
Bottomwear,6100
Topwear,30626
Socks,41742
Socks,20691
Socks,56893
Topwear,36315
Socks,54122
Topwear,26797
Topwear,20171
Topwear,41847
Topwear,53684
Bottomwear,40160
Topwear,53838
Topwear,18719
Bottomwear,49524
Accessories,49662
Socks,44981
Topwear,52095
Topwear,19711
Topwear,45151
Socks,7812
null,26000
Topwear,59767
Topwear,6241
Topwear,6939
Bottomwear,37065
Topwear,21247
Topwear,5945
Innerwear,49984
Topwear,25919
null,55267
Topwear,18008
Topwear,4378
Topwear,39002
Socks,35652
Topwear,8722
Bottomwear,31340
Bottomwear,20351
Bottomwear,20986
Topwear,17573
Topwear,25256
Innerwear,52488
Socks,28655
Topwear,22633
Topwear,56806
Topwear,6780
Topwear,36363
Topwear,29548
Topwear,30797
Topwear,33968
Topwear,46741
Topwear,9534
Topwear,3952
Watches,29521
Bottomwear,18012
Footwear,4130
Topwear,30915
Socks,5900
Socks,22487
Socks,34824
Topwear,47026
Bottomwear,29172
Topwear,26269
Socks,41825
Topwear,45955
Socks,55936
Topwear,45157
Socks,57490
None,46945
Bottomwear,27808
Socks,5749
Bottomwear,38502
Topwear,48063
Bottomwear,17975
Socks,42141
Topwear,26470
Dress,35432
Topwear,24553
Topwear,27280
Topwear,40992
Topwear,47672
Topwear,41031
Topwear,3351
Socks,45614
Topwear,3760
null,55540
Socks,43299
Topwear,30349
Dress,18175
Topwear,54147
Topwear,34904
Topwear,42868
Socks,42143
Bottomwear,57137
Innerwear,27507
Topwear,3530
Topwear,22751
Topwear,4189
Watches,38020
Topwear,8402
Innerwear,50605
Socks,58167
Topwear,4035
Topwear,22207
Not clothing,3406
Topwear,43960
Topwear,20858
Topwear,42564
Topwear,29057
Innerwear,28020
Topwear,24840
Topwear,3047
Bottomwear,47228
Topwear,18303
Topwear,37761
Socks,25420
Dress,59645
Bottomwear,47555
Socks,5469
null,58581
Topwear,33954
Not Applicable,27792
Topwear,9182
Dress,38842
Topwear,18846
Topwear,53863
Topwear,41973
Socks,5616
Socks,39956
Topwear,39878
Bottomwear,44585
Dress,46012
Topwear,4356
Topwear,3045
Topwear,24736
None,44101
Not Applicable,47422
Socks,24427
Topwear,19113
Socks,3462
Socks,49826
Topwear,19545
Topwear,8419
Topwear,38605
Topwear,7796
Topwear,59360
Topwear,1886
Socks,20823
Topwear,22932
Topwear,53802
Watches,8212
Socks,49406
Bottomwear,56914
Socks,28603
Innerwear,27400
Topwear,18259
Bags,25187
Topwear,40773
Topwear,39798
Topwear,24267
Footwear,39199
Topwear,25120
Socks,6298
Socks,6914
Topwear,24159
Topwear,44284
None,44382
Socks,47245
Topwear,48236
Topwear,26297
Topwear,55818
Innerwear,50459
Topwear,50310
Topwear,54009
Topwear,4290
Topwear,2607
Socks,32265
Topwear,34378
Topwear,44800
Bottomwear,32611
Topwear,36830
Watches,46536
Topwear,17331
Topwear,32304
Socks,22232
Topwear,41386
Innerwear,50966
Socks,25496
Socks,35697
Topwear,56320
Innerwear,18679
null,36705
Topwear,4943
Others,46933
Bottomwear,26811
Topwear,8352
Topwear,34323
Bottomwear,41251
Topwear,42662
Topwear,19056
Topwear,57832
Socks,45623
Innerwear,50476
Topwear,53095
Dress,59674
Socks,57937
Topwear,9418
Topwear,58850
Topwear,9572
Topwear,9643
Topwear,5299
Topwear,9450
Topwear,54633
Topwear,53604
Topwear,7146
Topwear,57548
