movieId,reviewId,reviewId_right
ant_man_and_the_wasp_quantumania,102782650,102779550
ant_man_and_the_wasp_quantumania,102785260,102781777
ant_man_and_the_wasp_quantumania,102779861,102779597
ant_man_and_the_wasp_quantumania,102779519,102780917
ant_man_and_the_wasp_quantumania,102779501,102780704
ant_man_and_the_wasp_quantumania,102779519,102781954
ant_man_and_the_wasp_quantumania,102785260,102780625
ant_man_and_the_wasp_quantumania,102782734,102781215
ant_man_and_the_wasp_quantumania,102779738,102780692
ant_man_and_the_wasp_quantumania,102780758,102780416
ant_man_and_the_wasp_quantumania,102779545,102780632
ant_man_and_the_wasp_quantumania,102785260,102779521
ant_man_and_the_wasp_quantumania,102779501,102779553
ant_man_and_the_wasp_quantumania,102779861,102779686
ant_man_and_the_wasp_quantumania,102779507,102781569
ant_man_and_the_wasp_quantumania,102779501,102781777
ant_man_and_the_wasp_quantumania,102779861,102779521
ant_man_and_the_wasp_quantumania,102784175,102782182
ant_man_and_the_wasp_quantumania,102780917,102781828
ant_man_and_the_wasp_quantumania,102779738,102780948
ant_man_and_the_wasp_quantumania,102779501,102780001
ant_man_and_the_wasp_quantumania,102779550,102781076
ant_man_and_the_wasp_quantumania,102779519,102780821
ant_man_and_the_wasp_quantumania,102780758,102781569
ant_man_and_the_wasp_quantumania,102779519,102779962
ant_man_and_the_wasp_quantumania,102782734,102779501
ant_man_and_the_wasp_quantumania,102780917,102779496
ant_man_and_the_wasp_quantumania,102779861,102780416
ant_man_and_the_wasp_quantumania,102779550,102779585
ant_man_and_the_wasp_quantumania,102785260,102779550
ant_man_and_the_wasp_quantumania,102779501,102779490
ant_man_and_the_wasp_quantumania,102779501,102781057
ant_man_and_the_wasp_quantumania,102779501,102780513
ant_man_and_the_wasp_quantumania,102779519,102780524
ant_man_and_the_wasp_quantumania,102779550,102779501
ant_man_and_the_wasp_quantumania,102780917,102779490
ant_man_and_the_wasp_quantumania,102785260,102781215
ant_man_and_the_wasp_quantumania,102780725,102780692
ant_man_and_the_wasp_quantumania,102779519,102780006
ant_man_and_the_wasp_quantumania,102782734,102785260
