movieId,reviewId,reviewId_right
ant_man_and_the_wasp_quantumania,102779482,102780483
ant_man_and_the_wasp_quantumania,102779962,102780948
ant_man_and_the_wasp_quantumania,102779482,102779962
ant_man_and_the_wasp_quantumania,102779634,102779962
ant_man_and_the_wasp_quantumania,102779482,102781828
ant_man_and_the_wasp_quantumania,102779616,102780948
ant_man_and_the_wasp_quantumania,102779962,102779482
ant_man_and_the_wasp_quantumania,102779482,102779501
ant_man_and_the_wasp_quantumania,102779482,102784591
ant_man_and_the_wasp_quantumania,102779482,102779501
