movieId,average(reviewScore)
joker_2019,3.3280318091451293
ready_player_one,3.4943181818181817
ant_man_and_the_wasp_quantumania,2.78125
the_irishman,4.278388278388278
thor_love_and_thunder,2.96
avengers_endgame,4.306382978723405
black_panther_2018,4.465882352941176
parasite_2019,4.551923076923077
get_out,4.404761904761905
a_star_is_born_2018,4.168564920273348
taken_3,1.8333333333333333
the_lion_king_2019,2.888888888888889
eternals,2.6
star_wars_the_rise_of_skywalker,2.8292682926829267
top_gun_maverick,4.360424028268551
first_man,3.935064935064935
batman_v_superman_dawn_of_justice,2.316546762589928
2012,2.5492537313432835
spider_man_far_from_home,3.861111111111111
roma_2018,4.5
star_wars_the_last_jedi,4.03921568627451
call_me_by_your_name,4.428571428571429
captain_marvel,3.541850220264317
wonder_woman_1984,3.0352941176470587
spider_man_homecoming,4.333333333333333
once_upon_a_time_in_hollywood,3.786008230452675
black_widow_2021,3.5625
deadpool,3.6
star_wars_episode_vii_the_force_awakens,4.2
arrival_2016,4.3776223776223775
solo_a_star_wars_story,3.167630057803468
logan_2017,4.242424242424242
dune_2021,3.7890625
the_post,4.0
the_favourite_2018,4.089887640449438
shazam,3.8767123287671232
the_batman,3.818639798488665
the_front_runner_2018,2.817813765182186
dunkirk_2017,4.276515151515151
avatar_the_way_of_water,3.6198347107438016
rogue_one_a_star_wars_story,3.702928870292887
la_la_land,4.315068493150685
elvis,3.6153846153846154
mank,3.8
avengers_infinity_war,3.849056603773585
blackkklansman,4.1436170212765955
doctor_strange_in_the_multiverse_of_madness,3.2362637362637363
snow_white_and_the_huntsman,2.7284345047923324
the_lighthouse_2019,3.8275862068965516
mad_max_fury_road,4.432835820895522
nope,3.7960199004975124
justice_league_2017,2.263157894736842
bohemian_rhapsody,3.0285714285714285
a_beautiful_day_in_the_neighborhood,4.357142857142857
birds_of_prey_2020,3.7012987012987013
black_panther_wakanda_forever,3.6176470588235294
promising_young_woman,3.926470588235294
mission_impossible_fallout,4.405405405405405
catch_me_if_you_can,4.0
deadpool_2,3.8933333333333335
28_days_later,3.7411764705882353
captain_america_civil_war,3.9583333333333335
jurassic_world_fallen_kingdom,2.5486725663716814
guardians_of_the_galaxy_vol_2,3.6627906976744184
knives_out,4.374172185430464
little_women_2019,4.423076923076923
it_2017,3.590909090909091
toy_story_4,4.286995515695067
the_invisible_man_2020,4.075757575757576
babylon_2022,2.8
blue_is_the_warmest_color,4.11864406779661
jojo_rabbit,3.6422018348623855
marriage_story_2019,4.195121951219512
nomadland,4.113207547169812
no_time_to_die_2021,3.608695652173913
three_billboards_outside_ebbing_missouri,4.225806451612903
thor_ragnarok_2017,4.138364779874214
isle_of_dogs_2018,3.7777777777777777
mother_2017,2.75
the_fabelmans,4.0
avengers_age_of_ultron,3.5
baby_driver,4.371428571428571
suicide_squad_2016,2.3461538461538463
ant_man_and_the_wasp,3.798780487804878
i_tonya,3.823529411764706
wonder_woman_2017,4.277777777777778
kung_fu_panda_3,3.4
the_revenant_2015,3.5
1193230-state_of_play,3.7435897435897436
west_side_story_2021,4.375
marvels_the_avengers,3.4285714285714284
spider_man_no_way_home,4.061728395061729
cruella,3.6785714285714284
vice_2018,3.125
glass_onion_a_knives_out_mystery,3.9361702127659575
incredibles_2,4.12
ad_astra,3.8484848484848486
spotlight_2015,4.363636363636363
12_years_a_slave,4.153846153846154
aquaman_2018,3.34375
jurassic_world_dominion,2.466666666666667
widows_2018,4.228915662650603
alien_covenant,3.1538461538461537
glass_2019,2.4489795918367347
moonlight_2016,4.4375
hereditary,3.6666666666666665
judy_2019,4.0
the_northman,3.6666666666666665
godzilla_vs_kong,3.772727272727273
spider_man_into_the_spider_verse,4.645161290322581
the_suicide_squad,4.090909090909091
it_chapter_two,3.230769230769231
john_wick_chapter_3_parabellum,3.6
dumbo_2019,2.25
the_banshees_of_inisherin,4.2
the_power_of_the_dog,3.8
dark_phoenix,2.5625
beauty_and_the_beast_2017,3.0
x_men_apocalypse,3.0
american_splendor,3.4
jackie_2016,3.8
judas_and_the_black_messiah,4.6
prairie_home_companion,3.619047619047619
booksmart,4.166666666666667
rocketman_2019,4.3
gone_girl,4.125
spectre_2015,2.7142857142857144
inside_out_2015,4.428571428571429
stillwater_2020,3.3333333333333335
soul,4.8
doctor_strange_2016,3.8421052631578947
godzilla_king_of_the_monsters_2019,2.6
skyfall,4.0
crazy_rich_asians,3.8
kong_skull_island,3.142857142857143
interstellar_2014,4.181818181818182
war_for_the_planet_of_the_apes,4.666666666666667
everything_everywhere_all_at_once,4.444444444444445
argo_2012,3.4
gravity_2013,4.4
inception,4.166666666666667
halloween_2018,3.2
hustlers_2019,4.0
a_quiet_place_part_ii,4.4
aladdin,2.7777777777777777
terminator_dark_fate,2.2
a_quiet_place_2018,4.315789473684211
if_beale_street_could_talk,5.0
ford_v_ferrari,4.6
midsommar,3.8684210526315788
mary_poppins_returns,3.076923076923077
phantom_thread,4.6
yesterday_2019,3.0
the_matrix_resurrections,2.8
green_book,3.2
jurassic_world,2.2
birdman_2014,4.8
coco_2017,4.8
triple_9,2.3
manchester_by_the_sea,4.6
house_of_gucci,2.5714285714285716
atomic_blonde_2017,3.4285714285714284
tenet,3.0
oceans_8,3.0
hail_caesar_2016,4.0
the_disaster_artist,3.0
fright_night_2011,2.8
spencer_2021,3.8
sully,4.0
venom_2018,1.6
fantastic_beasts_and_where_to_find_them,3.75
the_farewell_2019,4.6
