movieId,reviewId,reviewId_right
ant_man_and_the_wasp_quantumania,102784591,102779501
ant_man_and_the_wasp_quantumania,102784591,102784591
ant_man_and_the_wasp_quantumania,102779501,102779616
ant_man_and_the_wasp_quantumania,102784591,102779962
ant_man_and_the_wasp_quantumania,102779501,102779501
ant_man_and_the_wasp_quantumania,102779501,102779962
ant_man_and_the_wasp_quantumania,102784591,102779482
ant_man_and_the_wasp_quantumania,102780483,102780483
ant_man_and_the_wasp_quantumania,102784591,102780483
ant_man_and_the_wasp_quantumania,102784591,102779501
