ID,uri
6,gs://bq-mm-benchmark-mmqa-images/0db748148ad450ca06977751d2636dbd.jpg
5,gs://bq-mm-benchmark-mmqa-images/0a7ad8727ebeccfc16a44c9b68d4d30e.jpg
11,gs://bq-mm-benchmark-mmqa-images/0e33da3b0ad36e3ab3bfe35feeb3a5ac.jpg
11,gs://bq-mm-benchmark-mmqa-images/0c565efa82f7ca12dc98cd908e11ed5e.jpg
11,gs://bq-mm-benchmark-mmqa-images/0d030ee12e34ac380019e62839eab8fd.jpg
6,gs://bq-mm-benchmark-mmqa-images/0e5d8b7d8e669f374b06ed13a250e741.jpg
11,gs://bq-mm-benchmark-mmqa-images/0c4be285733b3edc6794639d8e45b07f.jpg
11,gs://bq-mm-benchmark-mmqa-images/0dd82dd6dec70831338aff8f5187449c.jpg
5,gs://bq-mm-benchmark-mmqa-images/0cc7714b04c7c33e6ba1ca4bd1676d57.jpg
1,gs://bq-mm-benchmark-mmqa-images/00a42b856e481580689927e49a29a0f8.jpg
6,gs://bq-mm-benchmark-mmqa-images/0aa0aca634022d522ccdbc2f556d7ce0.jpg
6,gs://bq-mm-benchmark-mmqa-images/0ac83693b42f451f27c992a887c38887.jpg
5,gs://bq-mm-benchmark-mmqa-images/0ddb5f4e1a90fc03dfb0f6aa6209f872.jpg
6,gs://bq-mm-benchmark-mmqa-images/0ba86aea4eb0e6ca527120a78d2935f9.jpg
11,gs://bq-mm-benchmark-mmqa-images/0bdad46c8d16e2ada037e6f3f418b2c3.jpg
1,gs://bq-mm-benchmark-mmqa-images/0bdad46c8d16e2ada037e6f3f418b2c3.jpg
6,gs://bq-mm-benchmark-mmqa-images/0c57ae4ddf9a14beacd0975239f44aad.jpg
11,gs://bq-mm-benchmark-mmqa-images/0c4b3b5ed365d7f86df86e93e10f4468.jpg
5,gs://bq-mm-benchmark-mmqa-images/0bedde694a0d9987f2b030d6cc0deb96.jpg
6,gs://bq-mm-benchmark-mmqa-images/0b0de031bd2ac2cae9a07c4a96de3d7e.jpg
5,gs://bq-mm-benchmark-mmqa-images/0ce1a7a4ce9f000bf9f4cba5a6aeebd3.jpg
5,gs://bq-mm-benchmark-mmqa-images/0d9f69db877e52ae3e265c9ca9e47c78.jpg
6,gs://bq-mm-benchmark-mmqa-images/0a3bf2c032e79a50990a5b681becbf4e.jpg
11,gs://bq-mm-benchmark-mmqa-images/0bea7385faf531b75fbd36e7769ee8ea.jpg
6,gs://bq-mm-benchmark-mmqa-images/0e0a6b5e3da8c0674a7080eaee67b128.jpg
4,gs://bq-mm-benchmark-mmqa-images/0a5fbce86271940e79b6b662271c88bc.jpg
4,gs://bq-mm-benchmark-mmqa-images/0b94245596940d1ab44df4bf05ce6e42.jpg
11,gs://bq-mm-benchmark-mmqa-images/0caf09a1166b2aae07b4d0f67568c404.jpg
5,gs://bq-mm-benchmark-mmqa-images/0a5fbce86271940e79b6b662271c88bc.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c8a2cdb2c772fe8c11973c1823a48fe.jpg
5,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg
11,gs://bq-mm-benchmark-mmqa-images/0a97ae01091d16fd67dda129fc5e2c8a.jpg
1,gs://bq-mm-benchmark-mmqa-images/0a97ae01091d16fd67dda129fc5e2c8a.jpg
5,gs://bq-mm-benchmark-mmqa-images/0ab56f386b554dce53edc6004fa8b0e0.jpg
6,gs://bq-mm-benchmark-mmqa-images/0d15a48e5df64cc43b813254e17fe5df.jpg
5,gs://bq-mm-benchmark-mmqa-images/0cca0ecd883bab2c353f8ba52219f68b.jpg
4,gs://bq-mm-benchmark-mmqa-images/0aeaaaf85d126a9e6a816c0b18f20acd.jpg
6,gs://bq-mm-benchmark-mmqa-images/0c046c90193b1f2d87802301ae1c7d06.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c046c90193b1f2d87802301ae1c7d06.jpg
6,gs://bq-mm-benchmark-mmqa-images/0bf8dc8a2ea59458ce518928642251a6.jpg
11,gs://bq-mm-benchmark-mmqa-images/0e16ef2fccef0760ef3f920221cb2e67.jpg
1,gs://bq-mm-benchmark-mmqa-images/0a354ddd615f58f2fdcc4805b0c20f38.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c8d1696ab480dce40ce4bbe2c30c28e.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c8eb9cd33e9447edabf369bf0609f04.jpg
1,gs://bq-mm-benchmark-mmqa-images/0e372ef850391ab72ed5ae8bdedc90bb.jpg
6,gs://bq-mm-benchmark-mmqa-images/00bf7c082b16e464e366675e8e5d1f52.jpg
4,gs://bq-mm-benchmark-mmqa-images/0a7ad8727ebeccfc16a44c9b68d4d30e.jpg
11,gs://bq-mm-benchmark-mmqa-images/0baf082bb3699a67be381be964a0215c.jpg
6,gs://bq-mm-benchmark-mmqa-images/0caf5d289498683b81aa216ee99c251e.jpg
5,gs://bq-mm-benchmark-mmqa-images/0d1bfdfd7ba8dcd9dc022e2060abffac.jpg
5,gs://bq-mm-benchmark-mmqa-images/00c48ead0159eed24b04c95f296500c0.jpg
1,gs://bq-mm-benchmark-mmqa-images/0c4be285733b3edc6794639d8e45b07f.jpg
