id,category
10338,Topwear
11359,Topwear
11365,Topwear
12055,Topwear
12490,Topwear
12595,Topwear
16379,Bottomwear
16426,Topwear
17159,Topwear
17560,Topwear
17714,Topwear
1804,Bottomwear
18301,Topwear
1853,Topwear
18620,Topwear
1886,Topwear
18988,Topwear
19574,Bottomwear
19578,Topwear
19967,Topwear
20253,Topwear
20358,Topwear
21023,Topwear
21894,Topwear
21923,Topwear
22324,Topwear
23168,Topwear
25391,Innerwear
26169,Bottomwear
26798,Topwear
26823,Bottomwear
27554,Topwear
28468,Topwear
28731,Topwear
29164,Topwear
2937,Topwear
31068,Topwear
31124,Dress
31278,Topwear
32272,Topwear
33196,Topwear
33293,Topwear
33311,Topwear
33495,Bottomwear
33590,Topwear
3699,Topwear
37514,Bottomwear
38248,Topwear
38998,Dress
3903,Topwear
3926,Topwear
39448,Topwear
3962,Topwear
41962,Bottomwear
41965,Topwear
42418,Topwear
42778,Topwear
42809,Innerwear
43306,Topwear
43700,Topwear
44902,Bottomwear
4805,Topwear
4817,Topwear
49942,Topwear
51599,Bottomwear
5169,Topwear
52067,Topwear
5432,Topwear
55599,Topwear
57094,Bottomwear
57122,Topwear
57446,Topwear
5758,Topwear
5771,Bottomwear
58007,Topwear
6233,Topwear
6885,Dress
7347,Topwear
7475,Topwear
8050,Topwear
8166,Topwear
9178,Bottomwear
9247,Topwear
9333,Topwear
9667,Topwear
9818,Topwear
10005,Topwear
10500,Dress
11043,Topwear
11436,Topwear
11656,Topwear
12279,Topwear
12284,Topwear
12544,Topwear
13399,Topwear
14680,Topwear
14721,Topwear
15560,Bottomwear
15786,Innerwear
15824,Innerwear
1619,Bottomwear
18172,Topwear
18731,Topwear
18883,Topwear
1891,Topwear
19183,Topwear
19591,Topwear
19613,Topwear
19699,Topwear
19728,Topwear
21138,Topwear
22352,Topwear
2482,Topwear
24848,Bottomwear
25541,Topwear
26469,Topwear
26474,Topwear
26721,Topwear
2677,Topwear
26867,Topwear
2786,Topwear
27949,Innerwear
28030,Innerwear
28462,Bottomwear
28641,Topwear
28808,Topwear
28857,Topwear
29165,Topwear
29246,Topwear
29320,Topwear
30122,Topwear
30727,Topwear
30858,Topwear
33052,Topwear
33085,Topwear
3322,Topwear
3525,Topwear
3686,Topwear
38588,Topwear
39444,Topwear
39752,Bottomwear
40107,Topwear
41404,Topwear
43085,Topwear
4315,Topwear
44930,Bottomwear
46284,Topwear
46895,Bottomwear
48418,Topwear
5004,Bottomwear
50952,Bottomwear
52151,Topwear
56810,Topwear
5765,Topwear
58647,Topwear
6089,Topwear
6581,Topwear
7053,Topwear
7313,Topwear
7531,Topwear
7747,Topwear
8020,Bottomwear
8349,Topwear
8720,Topwear
10675,Topwear
12030,Topwear
12177,Topwear
13260,Bottomwear
14322,Topwear
15931,Topwear
16211,Topwear
16330,Bottomwear
16406,Topwear
16799,Bottomwear
18258,Topwear
